player,age,dob,height_cm,club,rating
J. Vertonghen,32,24/04/1987,189,Tottenham Hotspur,87
D. Mertens,32,06/05/1987,169,Napoli,87
M. Hummels,30,16/12/1988,191,Borussia Dortmund,87
T. Alderweireld,30,02/03/1989,186,Tottenham Hotspur,87
Jordi Alba,30,21/03/1989,170,FC Barcelona,87
Thiago,28,11/04/1991,174,FC Bayern München,87
K. Navas,32,15/12/1986,185,Real Madrid,87
L. Insigne,28,04/06/1991,163,Napoli,87
L. Sané,23,11/01/1996,183,Manchester City,86
Marquinhos,25,14/05/1994,183,Paris Saint-Germain,86
M. Škriniar,24,11/02/1995,187,Inter,86
M. Verratti,26,05/11/1992,165,Paris Saint-Germain,86
S. Umtiti,25,14/11/1993,182,FC Barcelona,86
W. Szczęsny,29,18/04/1990,195,Juventus,86
J. Kimmich,24,08/02/1995,176,FC Bayern München,86
Isco,27,21/04/1992,176,Real Madrid,86
Roberto Firmino,27,02/10/1991,181,Liverpool,86
I. Rakitić,31,10/03/1988,184,FC Barcelona,86
M. Pjanić,29,02/04/1990,178,Juventus,86
A. Di María,31,14/02/1988,180,Paris Saint-Germain,86
L. Bonucci,32,01/05/1987,190,Juventus,86
Coutinho,27,12/06/1992,172,FC Bayern München,86
Parejo,30,16/04/1989,182,Valencia CF,86
T. Müller,29,13/09/1989,186,FC Bayern München,86
C. Immobile,29,20/02/1990,185,Lazio,86
A. Lacazette,28,28/05/1991,175,Arsenal,86
M. de Ligt,19,12/08/1999,189,Juventus,85
G. Donnarumma,20,25/02/1999,196,Milan,85
F. de Jong,22,12/05/1997,180,FC Barcelona,85
R. Varane,26,25/04/1993,191,Real Madrid,85
N. Süle,23,03/09/1995,195,FC Bayern München,85
S. Milinković-Savić,24,27/02/1995,191,Lazio,85
Rodri,23,22/06/1996,191,Manchester City,85
Saúl,24,21/11/1994,184,Atlético Madrid,85
Fabinho,25,23/10/1993,188,Liverpool,85
A. Robertson,25,11/03/1994,178,Liverpool,85
J. Giménez,24,20/01/1995,185,Atlético Madrid,85
C. Lenglet,24,17/06/1995,186,FC Barcelona,85
Bruno Fernandes,24,08/09/1994,179,Sporting CP,85
A. Lopes,28,01/10/1990,184,Olympique Lyonnais,85
P. Gulácsi,29,06/05/1990,192,RB Leipzig,85
R. Bürki,28,14/11/1990,187,Borussia Dortmund,85
R. Lukaku,26,13/05/1993,190,Inter,85
K. Manolas,28,14/06/1991,189,Napoli,85
Neto,29,19/07/1989,190,FC Barcelona,85
D. Alaba,27,24/06/1992,180,FC Bayern München,85
M. Icardi,26,19/02/1993,181,Inter,85
Carvajal,27,11/01/1992,173,Real Madrid,85
H. Ziyech,26,19/03/1993,181,Ajax,85
Z. Ibrahimović,37,03/10/1981,195,LA Galaxy,85
A. Gómez,31,15/02/1988,165,Atalanta,85
G. Higuaín,31,10/12/1987,186,Juventus,85
B. Matuidi,32,09/04/1987,180,Juventus,85
G. Bale,29,16/07/1989,185,Real Madrid,85
Marcelo,31,12/05/1988,174,Real Madrid,85
A. Witsel,30,12/01/1989,186,Borussia Dortmund,85
Alex Sandro,28,26/01/1991,180,Juventus,85
Iago Aspas,31,01/08/1987,176,RC Celta,85
Koke,27,08/01/1992,176,Atlético Madrid,85
J. Rodríguez,27,12/07/1991,180,Real Madrid,85
Allan,28,08/01/1991,175,Napoli,85
J. Sancho,19,25/03/2000,180,Borussia Dortmund,84
K. Havertz,20,11/06/1999,188,Bayer 04 Leverkusen,84
O. Dembélé,22,15/05/1997,178,FC Barcelona,84
Kepa,24,03/10/1994,186,Chelsea,84
João Cancelo,25,27/05/1994,182,Manchester City,84
D. Alli,23,11/04/1996,188,Tottenham Hotspur,84
L. Hernández,23,14/02/1996,182,FC Bayern München,84
Arthur,22,12/08/1996,171,FC Barcelona,84
M. Depay,25,13/02/1994,176,Olympique Lyonnais,84
L. Goretzka,24,06/02/1995,189,FC Bayern München,84
J. Brandt,23,02/05/1996,185,Borussia Dortmund,84
K. Coman,23,13/06/1996,179,FC Bayern München,84
S. Gnabry,23,14/07/1995,175,FC Bayern München,84
N. Fekir,25,18/07/1993,173,Real Betis,84
B. Leno,27,04/03/1992,190,Arsenal,84
Luis Alberto,26,28/09/1992,183,Lazio,84
Alex Telles,26,15/12/1992,181,FC Porto,84
J. Pavlenka,27,14/04/1992,196,SV Werder Bremen,84
S. de Vrij,27,05/02/1992,189,Inter,84
Felipe Anderson,26,15/04/1993,175,West Ham United,84
Pepe,36,26/02/1983,188,FC Porto,84
João Moutinho,32,08/09/1986,170,Wolverhampton Wanderers,84
S. Ruffier,32,27/09/1986,188,AS Saint-Étienne,84
S. Sirigu,32,12/01/1987,192,Torino,84
M. Hamšík,31,27/07/1987,183,Dalian YiFang FC,84
Sokratis,31,09/06/1988,186,Arsenal,84
Lucas Leiva,32,09/01/1987,179,Lazio,84
M. Özil,30,15/10/1988,180,Arsenal,84
Javi Martínez,30,02/09/1988,192,FC Bayern München,84
Y. Sommer,30,17/12/1988,183,Borussia Mönchengladbach,84
E. Džeko,33,17/03/1986,193,Roma,84
G. Wijnaldum,28,11/11/1990,175,Liverpool,84
I. Perišić,30,02/02/1989,186,FC Bayern München,84
M. Mandžukić,33,21/05/1986,190,Juventus,84
A. Vidal,32,22/05/1987,180,FC Barcelona,84
J. Boateng,30,03/09/1988,192,FC Bayern München,84
Azpilicueta,29,28/08/1989,178,Chelsea,84
José Callejón,32,11/02/1987,178,Napoli,84
I. Gündoğan,28,24/10/1990,180,Manchester City,84
Paulinho,30,25/07/1988,183,Guangzhou Evergrande Taobao FC,84
K. Walker,29,28/05/1990,183,Manchester City,84
Canales,28,16/02/1991,176,Real Betis,84
Douglas Costa,28,14/09/1990,172,Juventus,84
Pizzi,29,06/10/1989,177,SL Benfica,84
D. Tadić,30,20/11/1988,181,Ajax,84
J. Iličić,31,29/01/1988,190,Atalanta,84
R. Mahrez,28,21/02/1991,179,Manchester City,84
E. Višća,29,17/02/1990,172,Medipol Başakşehir FK,84
Felipe,30,16/05/1989,190,Atlético Madrid,84
Fabián,23,03/04/1996,189,Napoli,83
A. Romagnoli,24,12/01/1995,188,Milan,83
G. Lo Celso,23,09/04/1996,177,Tottenham Hotspur,83
T. Alexander-Arnold,20,07/10/1998,180,Liverpool,83
L. Jović,21,23/12/1997,182,Real Madrid,83
A. Milik,25,28/02/1994,186,Napoli,83
A. Martial,23,05/12/1995,184,Manchester United,83
Anderson Talisca,25,01/02/1994,190,Guangzhou Evergrande Taobao FC,83
J. Tah,23,11/02/1996,195,Bayer 04 Leverkusen,83
C. Tolisso,24,03/08/1994,181,FC Bayern München,83
Pau López,24,13/12/1994,189,Roma,83
Gonçalo Guedes,22,29/11/1996,179,Valencia CF,83
N. Pépé,24,29/05/1995,183,Arsenal,83
M. Akanji,23,19/07/1995,187,Borussia Dortmund,83
M. Rashford,21,31/10/1997,186,Manchester United,83
J. Stones,25,28/05/1994,188,Manchester City,83
A. Rabiot,24,03/04/1995,192,Juventus,83
Grimaldo,23,20/09/1995,171,SL Benfica,83
T. Werner,23,06/03/1996,180,RB Leipzig,83
T. Lemar,23,12/11/1995,171,Atlético Madrid,83
D. Sánchez,23,12/06/1996,187,Tottenham Hotspur,83
Marco Asensio,23,21/01/1996,182,Real Madrid,83
L. Digne,25,20/07/1993,178,Everton,83
J. Draxler,25,20/09/1993,187,Paris Saint-Germain,83
J. Pickford,25,07/03/1994,185,Everton,83
Y. Carrasco,25,04/09/1993,180,Dalian YiFang FC,83
Borja Iglesias,26,17/01/1993,187,Real Betis,83
K. Casteels,27,25/06/1992,197,VfL Wolfsburg,83
W. Zaha,26,10/11/1992,180,Crystal Palace,83
Paco Alcácer,25,30/08/1993,175,Borussia Dortmund,83
Morata,26,23/10/1992,189,Atlético Madrid,83
S. Haller,25,22/06/1994,190,West Ham United,83
William Carvalho,27,07/04/1992,187,Real Betis,83
F. Bernardeschi,25,16/02/1994,185,Juventus,83
D. Djené,27,31/12/1991,178,Getafe CF,83
Oscar,27,09/09/1991,181,Shanghai SIPG FC,83
K. Trapp,28,08/07/1990,189,Eintracht Frankfurt,83
Bartra,28,15/01/1991,184,Real Betis,83
Pablo Sarabia,27,11/05/1992,174,Paris Saint-Germain,83
J. Cillessen,30,22/04/1989,185,Valencia CF,83
Lucas Moura,26,13/08/1992,174,Tottenham Hotspur,83
F. Thauvin,26,26/01/1993,179,Olympique de Marseille,83
Jorginho,27,20/12/1991,180,Chelsea,83
G. Buffon,41,28/01/1978,192,Juventus,83
Casillas,38,20/05/1981,185,FC Porto,83
R. Jarstein,34,29/09/1984,190,Hertha BSC,83
V. Kompany,33,10/04/1986,190,RSC Anderlecht,83
Raúl Albiol,33,04/09/1985,190,Villarreal CF,83
F. Quagliarella,36,31/01/1983,180,Sampdoria,83
K. Schmeichel,32,05/11/1986,189,Leicester City,83
Falcao,33,10/02/1986,177,AS Monaco,83
Miranda,34,07/09/1984,186,Jiangsu Suning FC,83
C. Vela,30,01/03/1989,177,Los Angeles FC,83
E. Garay,32,10/10/1986,189,Valencia CF,83
Rui Patrício,31,15/02/1988,190,Wolverhampton Wanderers,83
R. Nainggolan,31,04/05/1988,176,Cagliari,83
E. Banega,31,29/06/1988,174,Sevilla FC,83
Diego Costa,30,07/10/1988,188,Atlético Madrid,83
S. Khedira,32,04/04/1987,189,Juventus,83
David Luiz,32,22/04/1987,189,Arsenal,83
M. Kruse,31,19/03/1988,180,Fenerbahçe SK,83
J. Henderson,29,17/06/1990,182,Liverpool,83
G. Sigurðsson,29,08/09/1989,186,Everton,83
A. Ramsey,28,26/12/1990,183,Juventus,83
Illarramendi,29,08/03/1990,179,Real Sociedad,83
D. Blind,29,09/03/1990,180,Ajax,83
L. Hrádecký,29,24/11/1989,192,Bayer 04 Leverkusen,83
N. Otamendi,31,12/02/1988,183,Manchester City,83
J. Cuadrado,31,26/05/1988,179,Juventus,83
I. Gueye,29,26/09/1989,174,Paris Saint-Germain,83
K. Kampl,28,09/10/1990,178,RB Leipzig,83
Rodrigo,28,06/03/1991,182,Valencia CF,83
C. Aránguiz,30,17/04/1989,171,Bayer 04 Leverkusen,83
W. Ben Yedder,28,12/08/1990,170,AS Monaco,83
F. Acerbi,31,10/02/1988,192,Lazio,83
Danilo Pereira,27,09/09/1991,188,FC Porto,83
A. Kramarić,28,19/06/1991,177,TSG 1899 Hoffenheim,83
Louri Beretta,27,29/02/1992,188,Atlético Mineiro,83
Josué Chiamulera,27,29/02/1992,185,Grêmio,83
Ronaldo Cabrais,27,29/02/1992,177,Grêmio,83
Oyarzabal,22,21/04/1997,181,Real Sociedad,82
L. Bailey,21,09/08/1997,178,Bayer 04 Leverkusen,82
Gabriel Jesus,22,03/04/1997,175,Manchester City,82
M. Kovačić,25,06/05/1994,176,Chelsea,82
A. Belotti,25,20/12/1993,181,Torino,82
T. Strakosha,24,19/03/1995,193,Lazio,82
N. Keïta,24,10/02/1995,172,Liverpool,82
L. Torreira,23,11/02/1996,168,Arsenal,82
Rúben Neves,22,13/03/1997,180,Wolverhampton Wanderers,82
P. Kimpembe,23,13/08/1995,189,Paris Saint-Germain,82
S. Bergwijn,21,08/10/1997,178,PSV,82
A. Onana,23,02/04/1996,187,Ajax,82
Nélson Semedo,25,16/11/1993,177,FC Barcelona,82
A. Areola,26,27/02/1993,195,Paris Saint-Germain,82
M. Perin,26,10/11/1992,188,Juventus,82
D. Rugani,24,29/07/1994,190,Juventus,82
A. Correa,24,09/03/1995,171,Atlético Madrid,82
Iñaki Williams,25,15/06/1994,186,Athletic Club de Bilbao,82
H. Lozano,23,30/07/1995,175,PSV,82
Gelson Martins,24,11/05/1995,173,AS Monaco,82
B. Lecomte,28,26/04/1991,186,AS Monaco,82
T. Partey,26,13/06/1993,185,Atlético Madrid,82
K. Demirbay,25,03/07/1993,182,Bayer 04 Leverkusen,82
J. Matip,27,08/08/1991,194,Liverpool,82
Suso,25,19/11/1993,176,Milan,82
S. Savić,28,08/01/1991,187,Atlético Madrid,82
A. Rüdiger,26,03/03/1993,190,Chelsea,82
Pacheco,27,18/05/1992,186,Deportivo Alavés,82
Ricardo Pereira,25,06/10/1993,175,Leicester City,82
N. Tagliafico,26,31/08/1992,172,Ajax,82
David Soria,26,04/04/1993,192,Getafe CF,82
Sergio Asenjo,30,28/06/1989,189,Villarreal CF,82
Muniain,26,19/12/1992,170,Athletic Club de Bilbao,82
M. Götze,27,03/06/1992,176,Borussia Dortmund,82
T. Delaney,27,03/09/1991,182,Borussia Dortmund,82
O. Baumann,29,02/06/1990,187,TSG 1899 Hoffenheim,82
Willian José,27,23/11/1991,189,Real Sociedad,82
Sergi Roberto,27,07/02/1992,178,FC Barcelona,82
N. Schulz,26,01/04/1993,181,Borussia Dortmund,82
K. Volland,26,30/07/1992,179,Bayer 04 Leverkusen,82
Nacho Fernández,29,18/01/1990,180,Real Madrid,82
Gabriel Paulista,28,26/11/1990,187,Valencia CF,82
J. Roussillon,26,06/01/1993,175,VfL Wolfsburg,82
H. Maguire,26,05/03/1993,194,Manchester United,82
T. Hazard,26,29/03/1993,175,Borussia Dortmund,82
E. Forsberg,27,23/10/1991,179,RB Leipzig,82
F. Kostić,26,01/11/1992,184,Eintracht Frankfurt,82
M. Politano,25,03/08/1993,171,Inter,82
Rafa,26,17/05/1993,172,SL Benfica,82
Pepe Reina,36,31/08/1982,188,Milan,82
D. De Rossi,35,24/07/1983,184,Boca Juniors,82
Aduriz,38,11/02/1981,182,Athletic Club de Bilbao,82
Jesús Navas,33,21/11/1985,170,Sevilla FC,82
Santi Cazorla,34,13/12/1984,168,Villarreal CF,82
H. Herrera,29,19/04/1990,185,Atlético Madrid,82
L. Biglia,33,30/01/1986,178,Milan,82
L. Fabiański,34,18/04/1985,190,West Ham United,82
E. Viviano,33,01/12/1985,195,Sporting CP,82
Juan Mata,31,28/04/1988,170,Manchester United,82
O. Giroud,32,30/09/1986,193,Chelsea,82
S. Kjær,30,26/03/1989,191,Sevilla FC,82
Willian,30,09/08/1988,175,Chelsea,82
V. Ćorluka,33,05/02/1986,192,Lokomotiv Moscow,82
M. Arnautović,30,19/04/1989,192,Shanghai SIPG FC,82
A. Sánchez,30,19/12/1988,169,Manchester United,82
Giuliano,29,31/05/1990,172,Al Nassr,82
A. Kolarov,33,10/11/1985,187,Roma,82
M. Balotelli,28,12/08/1990,189,Brescia,82
Marlos,31,07/06/1988,174,Shakhtar Donetsk,82
Taison,31,13/01/1988,172,Shakhtar Donetsk,82
B. Dost,30,31/05/1989,196,Sporting CP,82
G. Bonaventura,29,22/08/1989,181,Milan,82
Pedro,31,28/07/1987,169,Chelsea,82
L. de Jong,28,27/08/1990,188,Sevilla FC,82
S. El Shaarawy,26,27/10/1992,178,Shanghai Greenland Shenhua FC,82
Ander Herrera,29,14/08/1989,182,Paris Saint-Germain,82
X. Shaqiri,27,10/10/1991,169,Liverpool,82
Mário Fernandes,28,19/09/1990,187,PFC CSKA Moscow,82
S. Coates,28,07/10/1990,196,Sporting CP,82
C. Bakambu,28,11/04/1991,182,Beijing Sinobo Guoan FC,82
T. Meunier,27,12/09/1991,191,Paris Saint-Germain,82
K. Bellarabi,29,08/04/1990,184,Bayer 04 Leverkusen,82
J. Lingard,26,15/12/1992,175,Manchester United,82
Q. Promes,27,04/01/1992,174,Ajax,82
J. Vardy,32,11/01/1987,179,Leicester City,82
D. Zapata,28,01/04/1991,189,Atalanta,82
Morales,31,23/07/1987,180,Levante UD,82
Raphaelito Anjos,31,29/02/1988,190,Grêmio,82
Juiano Mestres,35,29/02/1984,181,Cruzeiro,82
Rosberto Dourado,31,29/02/1988,175,Atlético Mineiro,82
E. Schetino,27,29/02/1992,185,Uruguay,82
J. Sildero,27,29/02/1992,177,Uruguay,82
L. Martínez,21,22/08/1997,174,Inter,81
H. Aouar,21,30/06/1998,175,Olympique Lyonnais,81
T. Ndombele,22,28/12/1996,181,Tottenham Hotspur,81
Éder Militão,21,18/01/1998,186,Real Madrid,81
A. Cragno,25,28/06/1994,184,Cagliari,81
D. van de Beek,22,18/04/1997,184,Ajax,81
V. Lindelöf,24,17/07/1994,187,Manchester United,81
Dani Ceballos,22,07/08/1996,179,Arsenal,81
Pablo Fornals,23,22/02/1996,178,West Ham United,81
E. Can,25,12/01/1994,184,Juventus,81
Gayà,24,25/05/1995,172,Valencia CF,81
David Neres,22,03/03/1997,175,Ajax,81
P. Zieliński,25,20/05/1994,180,Napoli,81
G. Rulli,27,20/05/1992,189,Montpellier HSC,81
G. Xhaka,26,27/09/1992,185,Arsenal,81
Rafinha,26,12/02/1993,174,FC Barcelona,81
G. Kondogbia,26,15/02/1993,188,Valencia CF,81
M. Sabitzer,25,17/03/1994,177,RB Leipzig,81
L. Shaw,23,12/07/1995,181,Manchester United,81
J. Martínez,26,19/05/1993,170,Atlanta United,81
A. Doucouré,26,01/01/1993,184,Watford,81
W. Ndidi,22,16/12/1996,183,Leicester City,81
T. Horn,26,12/05/1993,192,1. FC Köln,81
W. Orban,26,03/11/1992,186,RB Leipzig,81
A. Plea,26,10/03/1993,181,Borussia Mönchengladbach,81
Y. Poulsen,25,15/06/1994,193,RB Leipzig,81
R. Fraser,25,24/02/1994,163,Bournemouth,81
M. Ginter,25,19/01/1994,191,Borussia Mönchengladbach,81
R. Guerreiro,25,22/12/1993,170,Borussia Dortmund,81
João Mário,26,19/01/1993,179,Inter,81
Thiago Mendes,27,15/03/1992,177,Olympique Lyonnais,81
A. Izzo,27,02/03/1992,183,Torino,81
M. Brozović,26,16/11/1992,181,Inter,81
A. Ljajić,27,29/09/1991,182,Beşiktaş JK,81
J. Corona,26,06/01/1993,173,FC Porto,81
Jordi Masip,30,03/01/1989,180,Real Valladolid CF,81
T. Vaclík,30,29/03/1989,188,Sevilla FC,81
L. Milivojević,28,07/04/1991,186,Crystal Palace,81
Gerard Moreno,27,07/04/1992,180,Villarreal CF,81
W. Weghorst,26,07/08/1992,197,VfL Wolfsburg,81
Quaresma,35,26/09/1983,175,Beşiktaş JK,81
J. Mathieu,35,29/10/1983,189,Sporting CP,81
J. Milner,33,04/01/1986,175,Liverpool,81
L. López,36,02/03/1983,174,Racing Club,81
B. Gomis,33,06/08/1985,184,Al Hilal,81
M. Dembélé,31,16/07/1987,185,Guangzhou R&F FC,81
Cesc Fàbregas,32,04/05/1987,179,AS Monaco,81
A. Consigli,32,27/01/1987,189,Sassuolo,81
L. Koscielny,33,10/09/1985,186,FC Girondins de Bordeaux,81
Jardel,33,29/03/1986,192,SL Benfica,81
Renato Augusto,31,08/02/1988,186,Beijing Sinobo Guoan FC,81
José Fonte,35,22/12/1983,187,LOSC Lille,81
A. Guardado,32,28/09/1986,169,Real Betis,81
L. Piszczek,34,03/06/1985,184,Borussia Dortmund,81
K. Gameiro,32,09/05/1987,172,Valencia CF,81
D. Payet,32,29/03/1987,175,Olympique de Marseille,81
Beñat,32,19/02/1987,177,Athletic Club de Bilbao,81
Adán,32,13/05/1987,190,Atlético Madrid,81
B. Höwedes,31,29/02/1988,188,Lokomotiv Moscow,81
F. Muslera,33,16/06/1986,190,Galatasaray SK,81
M. Sissoko,29,16/08/1989,187,Tottenham Hotspur,81
M. Parolo,34,25/01/1985,184,Lazio,81
Fernando,31,25/07/1987,183,Sevilla FC,81
N. Gaitán,31,23/02/1988,173,Chicago Fire,81
S. Giovinco,32,26/01/1987,163,Al Hilal,81
Luiz Gustavo,31,23/07/1987,187,Olympique de Marseille,81
N. Nkoulou,29,27/03/1990,184,Torino,81
N. Matić,30,01/08/1988,194,Manchester United,81
Marcos Alonso,28,28/12/1990,188,Chelsea,81
H. Mkhitaryan,30,21/01/1989,177,Arsenal,81
André Almeida,28,10/09/1990,185,SL Benfica,81
A. Florenzi,28,11/03/1991,173,Roma,81
E. Zahavi,31,25/07/1987,182,Guangzhou R&F FC,81
F. Vázquez,30,22/02/1989,186,Sevilla FC,81
Lucas Vázquez,28,01/07/1991,173,Real Madrid,81
Dani García,29,24/05/1990,180,Athletic Club de Bilbao,81
M. Acuña,27,28/10/1991,172,Sporting CP,81
Laure Santeiro,31,29/02/1988,171,Fluminense,81
J. Frendado,35,29/02/1984,181,Uruguay,81
S. Ardero,31,29/02/1988,171,Uruguay,81
L. Dálves,27,29/02/1992,188,Uruguay,81
S. Mandíquez,30,16/03/1989,188,Ecuador,81
João Félix,19,10/11/1999,181,Atlético Madrid,80
N. Barella,22,07/02/1997,175,Inter,80
J. Gomez,22,23/05/1997,188,Liverpool,80
A. Christensen,23,10/04/1996,187,Chelsea,80
M. Maignan,23,03/07/1995,191,LOSC Lille,80
Y. Tielemans,22,07/05/1997,176,Leicester City,80
Mario Hermoso,24,18/06/1995,184,Atlético Madrid,80
Carlos Soler,22,02/01/1997,180,Valencia CF,80
M. Caldara,25,05/05/1994,187,Milan,80
H. Winks,23,02/02/1996,176,Tottenham Hotspur,80
K. Piątek,24,01/07/1995,183,Milan,80
Diogo Jota,22,04/12/1996,178,Wolverhampton Wanderers,80
Marcos Llorente,24,30/01/1995,184,Atlético Madrid,80
F. Mendy,24,08/06/1995,180,Real Madrid,80
Melendo,21,23/08/1997,167,RCD Espanyol,80
Rúben Dias,22,14/05/1997,186,SL Benfica,80
D. Livaković,23,02/09/1995,187,Dinamo Zagreb,80
Héctor Bellerín,24,19/03/1995,178,Arsenal,80
B. Mendy,24,17/07/1994,185,Manchester City,80
M. Dembélé,22,12/07/1996,183,Olympique Lyonnais,80
O. Vlachodimos,25,26/04/1994,188,SL Benfica,80
Santi Mina,23,07/12/1995,181,RC Celta,80
Rony Lopes,23,28/12/1995,174,Sevilla FC,80
J. Correa,24,13/08/1994,188,Lazio,80
T. Bakayoko,24,17/08/1994,189,Chelsea,80
M. Eggestein,22,08/12/1996,181,SV Werder Bremen,80
Odriozola,23,14/12/1995,176,Real Madrid,80
M. Gómez,22,14/08/1996,186,Valencia CF,80
Sergi Darder,25,22/12/1993,180,RCD Espanyol,80
K. Zouma,24,27/10/1994,190,Chelsea,80
L. Paredes,25,29/06/1994,180,Paris Saint-Germain,80
N. Aké,24,18/02/1995,180,Bournemouth,80
E. Hysaj,25,02/02/1994,182,Napoli,80
André Gomes,25,30/07/1993,188,Everton,80
K. Baldé,24,08/03/1995,181,AS Monaco,80
J. Weigl,23,08/09/1995,186,Borussia Dortmund,80
V. Rongier,24,07/12/1994,172,FC Nantes,80
Yeray,24,24/01/1995,183,Athletic Club de Bilbao,80
Loren,25,30/12/1993,188,Real Betis,80
R. Rodríguez,26,25/08/1992,180,Milan,80
A. Oxlade-Chamberlain,25,15/08/1993,175,Liverpool,80
Campaña,26,31/05/1993,179,Levante UD,80
A. Mandi,27,22/10/1991,184,Real Betis,80
Deulofeu,25,13/03/1994,177,Watford,80
Bernat,26,01/03/1993,170,Paris Saint-Germain,80
E. Andrada,28,26/01/1991,194,Boca Juniors,80
M. Keane,26,11/01/1993,191,Everton,80
J. Quintero,26,18/01/1993,168,River Plate,80
Samu Castillejo,24,18/01/1995,182,Milan,80
W. Benítez,26,19/01/1993,191,OGC Nice,80
A. Rebić,25,21/09/1993,185,Eintracht Frankfurt,80
E. Bailly,25,12/04/1994,186,Manchester United,80
M. Almirón,25,10/02/1994,174,Newcastle United,80
M. Lazzari,25,29/11/1993,174,Lazio,80
M. Lanzini,26,15/02/1993,167,West Ham United,80
J. Zoet,28,06/01/1991,189,PSV,80
M. Ryan,27,08/04/1992,184,Brighton & Hove Albion,80
Sergi Gómez,27,28/03/1992,185,Sevilla FC,80
H. Vanaken,26,24/08/1992,195,Club Brugge KV,80
M. Hinteregger,26,07/09/1992,184,Eintracht Frankfurt,80
M. Nastasić,26,28/03/1993,188,FC Schalke 04,80
Gabriel,25,18/09/1993,187,SL Benfica,80
C. Wilson,27,27/02/1992,180,Bournemouth,80
J. Guilavogui,28,19/09/1990,188,VfL Wolfsburg,80
D. Klaassen,26,21/02/1993,179,SV Werder Bremen,80
P. Kadeřábek,27,25/04/1992,182,TSG 1899 Hoffenheim,80
C. Kramer,28,19/02/1991,191,Borussia Mönchengladbach,80
Iñigo Martínez,28,17/05/1991,182,Athletic Club de Bilbao,80
Portu,27,21/05/1992,178,Real Sociedad,80
Manu Trigueros,27,17/10/1991,178,Villarreal CF,80
H. Çalhanoğlu,25,08/02/1994,178,Milan,80
M. Dabbur,27,14/05/1992,182,Sevilla FC,80
M. Halstenberg,27,27/09/1991,187,RB Leipzig,80
M. Vecino,27,24/08/1991,187,Inter,80
M. Dúbravka,30,15/01/1989,190,Newcastle United,80
M. Dmitrović,27,24/01/1992,194,SD Eibar,80
Joaquín,37,21/07/1981,179,Real Betis,80
W. Rooney,33,24/10/1985,176,DC United,80
Moyá,35,02/04/1984,188,Real Sociedad,80
Nani,32,17/11/1986,177,Orlando City SC,80
J. Mascherano,35,08/06/1984,174,Hebei China Fortune FC,80
Diego López,37,03/11/1981,196,RCD Espanyol,80
I. Akinfeev,33,08/04/1986,186,PFC CSKA Moscow,80
A. Gignac,33,05/12/1985,187,Tigres U.A.N.L.,80
Jorge Molina,37,22/04/1982,188,Getafe CF,80
B. Costil,31,03/07/1987,187,FC Girondins de Bordeaux,80
