Territorio,Sesso,Classe di età,Titolo di studio,TIME,Value
Liguria,femmine,15 anni e più,totale,2018,720.045
Liguria,femmine,15 anni e più,totale,2019,716.837
Liguria,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,195.873
Liguria,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,185.542
Liguria,totale,15 anni e più,licenza di scuola media,2018,427.953
Liguria,totale,15 anni e più,licenza di scuola media,2019,409.778
Liguria,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,85.083
Liguria,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,91.38
Liguria,totale,15 anni e più,diploma 4-5 anni (maturità),2018,435.309
Liguria,totale,15 anni e più,diploma 4-5 anni (maturità),2019,454.796
Liguria,totale,15 anni e più,laurea e post-laurea,2018,222.944
Liguria,totale,15 anni e più,laurea e post-laurea,2019,220.237
Liguria,totale,15 anni e più,totale,2018,1367.161
Liguria,totale,15 anni e più,totale,2019,1361.734
Lombardia,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,483.472
Lombardia,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,445.066
Lombardia,maschi,15 anni e più,licenza di scuola media,2018,1461.482
Lombardia,maschi,15 anni e più,licenza di scuola media,2019,1506.645
Lombardia,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,348.979
Lombardia,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,330.645
Lombardia,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,1252.643
Lombardia,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,1284.158
Lombardia,maschi,15 anni e più,laurea e post-laurea,2018,624.448
Lombardia,maschi,15 anni e più,laurea e post-laurea,2019,622.955
Lombardia,maschi,15 anni e più,totale,2018,4171.024
Lombardia,maschi,15 anni e più,totale,2019,4189.469
Lombardia,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,790.853
Lombardia,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,725.251
Lombardia,femmine,15 anni e più,licenza di scuola media,2018,1308.483
Lombardia,femmine,15 anni e più,licenza di scuola media,2019,1356.579
Lombardia,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,372.84
Lombardia,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,389.046
Lombardia,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,1197.391
Lombardia,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,1203.471
Lombardia,femmine,15 anni e più,laurea e post-laurea,2018,751.028
Lombardia,femmine,15 anni e più,laurea e post-laurea,2019,759.828
Lombardia,femmine,15 anni e più,totale,2018,4420.594
Lombardia,femmine,15 anni e più,totale,2019,4434.175
Lombardia,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,1274.326
Lombardia,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,1170.317
Lombardia,totale,15 anni e più,licenza di scuola media,2018,2769.965
Lombardia,totale,15 anni e più,licenza di scuola media,2019,2863.225
Lombardia,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,721.818
Lombardia,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,719.69
Lombardia,totale,15 anni e più,diploma 4-5 anni (maturità),2018,2450.034
Lombardia,totale,15 anni e più,diploma 4-5 anni (maturità),2019,2487.629
Lombardia,totale,15 anni e più,laurea e post-laurea,2018,1375.476
Lombardia,totale,15 anni e più,laurea e post-laurea,2019,1382.783
Lombardia,totale,15 anni e più,totale,2018,8591.618
Lombardia,totale,15 anni e più,totale,2019,8623.644
Trentino Alto Adige / Südtirol,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,46.498
Trentino Alto Adige / Südtirol,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,41.606
Trentino Alto Adige / Südtirol,maschi,15 anni e più,licenza di scuola media,2018,148.501
Trentino Alto Adige / Südtirol,maschi,15 anni e più,licenza di scuola media,2019,155.134
Trentino Alto Adige / Südtirol,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,75.675
Trentino Alto Adige / Südtirol,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,75.077
Trentino Alto Adige / Südtirol,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,109.737
Trentino Alto Adige / Südtirol,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,111.176
Trentino Alto Adige / Südtirol,maschi,15 anni e più,laurea e post-laurea,2018,55.627
Trentino Alto Adige / Südtirol,maschi,15 anni e più,laurea e post-laurea,2019,55.261
Trentino Alto Adige / Südtirol,maschi,15 anni e più,totale,2018,436.038
Trentino Alto Adige / Südtirol,maschi,15 anni e più,totale,2019,438.255
Trentino Alto Adige / Südtirol,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,71.139
Trentino Alto Adige / Südtirol,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,65.581
Trentino Alto Adige / Südtirol,femmine,15 anni e più,licenza di scuola media,2018,133.472
Trentino Alto Adige / Südtirol,femmine,15 anni e più,licenza di scuola media,2019,134.74
Trentino Alto Adige / Südtirol,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,63.817
Trentino Alto Adige / Südtirol,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,64.532
Trentino Alto Adige / Südtirol,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,117.841
Trentino Alto Adige / Südtirol,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,122.559
Trentino Alto Adige / Südtirol,femmine,15 anni e più,laurea e post-laurea,2018,71.838
Trentino Alto Adige / Südtirol,femmine,15 anni e più,laurea e post-laurea,2019,72.582
Trentino Alto Adige / Südtirol,femmine,15 anni e più,totale,2018,458.105
Trentino Alto Adige / Südtirol,femmine,15 anni e più,totale,2019,459.995
Trentino Alto Adige / Südtirol,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,117.637
Trentino Alto Adige / Südtirol,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,107.188
Trentino Alto Adige / Südtirol,totale,15 anni e più,licenza di scuola media,2018,281.972
Trentino Alto Adige / Südtirol,totale,15 anni e più,licenza di scuola media,2019,289.874
Trentino Alto Adige / Südtirol,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,139.491
Trentino Alto Adige / Südtirol,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,139.61
Trentino Alto Adige / Südtirol,totale,15 anni e più,diploma 4-5 anni (maturità),2018,227.578
Trentino Alto Adige / Südtirol,totale,15 anni e più,diploma 4-5 anni (maturità),2019,233.735
Trentino Alto Adige / Südtirol,totale,15 anni e più,laurea e post-laurea,2018,127.465
Trentino Alto Adige / Südtirol,totale,15 anni e più,laurea e post-laurea,2019,127.843
Trentino Alto Adige / Südtirol,totale,15 anni e più,totale,2018,894.143
Trentino Alto Adige / Südtirol,totale,15 anni e più,totale,2019,898.249
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,24.375
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,20.943
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,licenza di scuola media,2018,76.814
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,licenza di scuola media,2019,80.653
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,39.077
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,37.508
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,49.552
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,51.874
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,laurea e post-laurea,2018,24.232
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,laurea e post-laurea,2019,24.452
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,totale,2018,214.051
Provincia Autonoma Bolzano / Bozen,maschi,15 anni e più,totale,2019,215.43
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,36.061
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,30.988
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,licenza di scuola media,2018,64.646
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,licenza di scuola media,2019,67.117
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,35.988
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,36.104
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,55.745
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,59.965
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,laurea e post-laurea,2018,31.792
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,laurea e post-laurea,2019,31.226
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,totale,2018,224.233
Provincia Autonoma Bolzano / Bozen,femmine,15 anni e più,totale,2019,225.4
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,60.436
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,51.93
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,licenza di scuola media,2018,141.461
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,licenza di scuola media,2019,147.77
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,75.066
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,73.612
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,diploma 4-5 anni (maturità),2018,105.297
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,diploma 4-5 anni (maturità),2019,111.839
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,laurea e post-laurea,2018,56.024
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,laurea e post-laurea,2019,55.678
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,totale,2018,438.284
Provincia Autonoma Bolzano / Bozen,totale,15 anni e più,totale,2019,440.829
Provincia Autonoma Trento,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,22.123
Provincia Autonoma Trento,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,20.664
Provincia Autonoma Trento,maschi,15 anni e più,licenza di scuola media,2018,71.686
Provincia Autonoma Trento,maschi,15 anni e più,licenza di scuola media,2019,74.481
Provincia Autonoma Trento,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,36.598
Provincia Autonoma Trento,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,37.569
Provincia Autonoma Trento,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,60.185
Provincia Autonoma Trento,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,59.302
Provincia Autonoma Trento,maschi,15 anni e più,laurea e post-laurea,2018,31.395
Provincia Autonoma Trento,maschi,15 anni e più,laurea e post-laurea,2019,30.809
Provincia Autonoma Trento,maschi,15 anni e più,totale,2018,221.988
Provincia Autonoma Trento,maschi,15 anni e più,totale,2019,222.825
Provincia Autonoma Trento,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,35.078
Provincia Autonoma Trento,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,34.594
Provincia Autonoma Trento,femmine,15 anni e più,licenza di scuola media,2018,68.825
Provincia Autonoma Trento,femmine,15 anni e più,licenza di scuola media,2019,67.623
Provincia Autonoma Trento,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,27.828
Provincia Autonoma Trento,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,28.428
Provincia Autonoma Trento,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,62.096
Provincia Autonoma Trento,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,62.594
Provincia Autonoma Trento,femmine,15 anni e più,laurea e post-laurea,2018,40.045
Provincia Autonoma Trento,femmine,15 anni e più,laurea e post-laurea,2019,41.356
Provincia Autonoma Trento,femmine,15 anni e più,totale,2018,233.872
Provincia Autonoma Trento,femmine,15 anni e più,totale,2019,234.595
Provincia Autonoma Trento,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,57.201
Provincia Autonoma Trento,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,55.257
Provincia Autonoma Trento,totale,15 anni e più,licenza di scuola media,2018,140.511
Provincia Autonoma Trento,totale,15 anni e più,licenza di scuola media,2019,142.104
Provincia Autonoma Trento,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,64.426
Provincia Autonoma Trento,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,65.997
Provincia Autonoma Trento,totale,15 anni e più,diploma 4-5 anni (maturità),2018,122.281
Provincia Autonoma Trento,totale,15 anni e più,diploma 4-5 anni (maturità),2019,121.896
Provincia Autonoma Trento,totale,15 anni e più,laurea e post-laurea,2018,71.441
Provincia Autonoma Trento,totale,15 anni e più,laurea e post-laurea,2019,72.165
Provincia Autonoma Trento,totale,15 anni e più,totale,2018,455.86
Provincia Autonoma Trento,totale,15 anni e più,totale,2019,457.42
Veneto,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,255.176
Veneto,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,236.937
Veneto,maschi,15 anni e più,licenza di scuola media,2018,680.125
Veneto,maschi,15 anni e più,licenza di scuola media,2019,700.358
Veneto,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,231.624
Veneto,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,231.913
Veneto,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,623.402
Veneto,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,615.677
Veneto,maschi,15 anni e più,laurea e post-laurea,2018,251.95
Veneto,maschi,15 anni e più,laurea e post-laurea,2019,263.986
Veneto,maschi,15 anni e più,totale,2018,2042.278
Veneto,maschi,15 anni e più,totale,2019,2048.87
Veneto,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,442.583
Veneto,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,421.949
Veneto,femmine,15 anni e più,licenza di scuola media,2018,636.058
Veneto,femmine,15 anni e più,licenza di scuola media,2019,639.412
Veneto,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,181.051
Veneto,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,184.777
Veneto,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,568.625
Veneto,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,573.846
Veneto,femmine,15 anni e più,laurea e post-laurea,2018,335.224
Veneto,femmine,15 anni e più,laurea e post-laurea,2019,346.46
Veneto,femmine,15 anni e più,totale,2018,2163.541
Veneto,femmine,15 anni e più,totale,2019,2166.446
Veneto,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,697.759
Veneto,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,658.886
Veneto,totale,15 anni e più,licenza di scuola media,2018,1316.184
Veneto,totale,15 anni e più,licenza di scuola media,2019,1339.77
Veneto,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,412.676
Veneto,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,416.691
Veneto,totale,15 anni e più,diploma 4-5 anni (maturità),2018,1192.027
Veneto,totale,15 anni e più,diploma 4-5 anni (maturità),2019,1189.523
Veneto,totale,15 anni e più,laurea e post-laurea,2018,587.174
Veneto,totale,15 anni e più,laurea e post-laurea,2019,610.446
Veneto,totale,15 anni e più,totale,2018,4205.818
Veneto,totale,15 anni e più,totale,2019,4215.316
Friuli-Venezia Giulia,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,53.546
Friuli-Venezia Giulia,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,45.588
Friuli-Venezia Giulia,maschi,15 anni e più,licenza di scuola media,2018,163.926
Friuli-Venezia Giulia,maschi,15 anni e più,licenza di scuola media,2019,164.016
Friuli-Venezia Giulia,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,53.108
Friuli-Venezia Giulia,maschi,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,55.953
Friuli-Venezia Giulia,maschi,15 anni e più,diploma 4-5 anni (maturità),2018,166.688
Friuli-Venezia Giulia,maschi,15 anni e più,diploma 4-5 anni (maturità),2019,171.663
Friuli-Venezia Giulia,maschi,15 anni e più,laurea e post-laurea,2018,72.797
Friuli-Venezia Giulia,maschi,15 anni e più,laurea e post-laurea,2019,73.073
Friuli-Venezia Giulia,maschi,15 anni e più,totale,2018,510.064
Friuli-Venezia Giulia,maschi,15 anni e più,totale,2019,510.293
Friuli-Venezia Giulia,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,98.058
Friuli-Venezia Giulia,femmine,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,91.8
Friuli-Venezia Giulia,femmine,15 anni e più,licenza di scuola media,2018,162.882
Friuli-Venezia Giulia,femmine,15 anni e più,licenza di scuola media,2019,158.362
Friuli-Venezia Giulia,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,41.997
Friuli-Venezia Giulia,femmine,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,43.276
Friuli-Venezia Giulia,femmine,15 anni e più,diploma 4-5 anni (maturità),2018,155.429
Friuli-Venezia Giulia,femmine,15 anni e più,diploma 4-5 anni (maturità),2019,163.137
Friuli-Venezia Giulia,femmine,15 anni e più,laurea e post-laurea,2018,89.637
Friuli-Venezia Giulia,femmine,15 anni e più,laurea e post-laurea,2019,90.699
Friuli-Venezia Giulia,femmine,15 anni e più,totale,2018,548.004
Friuli-Venezia Giulia,femmine,15 anni e più,totale,2019,547.274
Friuli-Venezia Giulia,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,151.604
Friuli-Venezia Giulia,totale,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,137.387
Friuli-Venezia Giulia,totale,15 anni e più,licenza di scuola media,2018,326.808
Friuli-Venezia Giulia,totale,15 anni e più,licenza di scuola media,2019,322.378
Friuli-Venezia Giulia,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2018,95.105
Friuli-Venezia Giulia,totale,15 anni e più,diploma 2-3 anni (qualifica professionale),2019,99.229
Friuli-Venezia Giulia,totale,15 anni e più,diploma 4-5 anni (maturità),2018,322.117
Friuli-Venezia Giulia,totale,15 anni e più,diploma 4-5 anni (maturità),2019,334.8
Friuli-Venezia Giulia,totale,15 anni e più,laurea e post-laurea,2018,162.434
Friuli-Venezia Giulia,totale,15 anni e più,laurea e post-laurea,2019,163.772
Friuli-Venezia Giulia,totale,15 anni e più,totale,2018,1058.068
Friuli-Venezia Giulia,totale,15 anni e più,totale,2019,1057.567
Emilia-Romagna,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2018,237.071
Emilia-Romagna,maschi,15 anni e più,"licenza di scuola elementare, nessun titolo di studio",2019,215.69
